,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065831.1_1470973_1471873_pos,CP065831.1,I8N76_07310,QPV98810.1,,1470973,1471873,pos,,Dyp-type peroxidase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228144.1,50
CDS_CP065831.1_3229039_3229666_neg,CP065831.1,I8N76_15975,QPV95458.1,,3229039,3229666,neg,,tail fiber assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804748.1,80
CDS_CP065831.1_727169_727394_pos,CP065831.1,I8N76_03660,QPV98131.1,,727169,727394,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804715.1,133
CDS_CP065831.1_3246306_3247875_neg,CP065831.1,I8N76_16080,QPV95478.1,,3246306,3247875,neg,,DUF935 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804762.1,13
CDS_CP065831.1_2119931_2121629_pos,CP065831.1,I8N76_10500,QPV99380.1,,2119931,2121629,pos,,OmpA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227575.1,12
CDS_CP065831.1_1423039_1424326_pos,CP065831.1,I8N76_07070,QPV98765.1,uraA,1423039,1424326,pos,,uracil permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228193.1,26
CDS_CP065831.1_3059835_3060357_neg,CP065831.1,I8N76_15195,QPV95314.1,,3059835,3060357,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004179560.1,91
CDS_CP065831.1_741811_742240_pos,CP065831.1,I8N76_03780,QPV98154.1,,741811,742240,pos,,DUF1320 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804749.1,109
CDS_CP065831.1_730645_731299_pos,CP065831.1,I8N76_03700,QPV98138.1,,730645,731299,pos,,glycoside hydrolase family 19 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804759.1,74
CDS_CP065831.1_3061292_3061553_neg,CP065831.1,I8N76_15205,QPW00091.1,,3061292,3061553,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004190528.1,131
CDS_CP065831.1_752097_752754_pos,CP065831.1,I8N76_03840,QPV98165.1,,752097,752754,pos,,DUF2313 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804756.1,72
CDS_CP065831.1_4119318_4119891_neg,CP065831.1,I8N76_20450,QPV96272.1,,4119318,4119891,neg,,DUF550 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_019704110.1,84
CDS_CP065831.1_3259272_3261318_neg,CP065831.1,I8N76_16200,QPW00099.1,,3259272,3261318,neg,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003030404.1,6
CDS_CP065831.1_2578886_2579072_pos,CP065831.1,I8N76_12815,QPV99792.1,,2578886,2579072,pos,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,148
CDS_CP065831.1_1538023_1538290_pos,CP065831.1,I8N76_07690,QPV98864.1,,1538023,1538290,pos,,DUF1778 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004213599.1,129
CDS_CP065831.1_2130671_2132027_pos,CP065831.1,I8N76_10555,QPV99389.1,,2130671,2132027,pos,,S-type pyocin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227572.1,34
CDS_CP065831.1_3233121_3234360_neg,CP065831.1,I8N76_16005,QPV95464.1,,3233121,3234360,neg,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804753.1,1
CDS_CP065831.1_3485959_3486598_neg,CP065831.1,I8N76_17465,QPV95727.1,,3485959,3486598,neg,,DUF3164 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804745.1,77
CDS_CP065831.1_422912_424097_pos,CP065831.1,I8N76_01965,QPV97817.1,tuf,422912,424097,pos,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224494.1,32
CDS_CP065831.1_3463342_3464656_neg,CP065831.1,I8N76_17300,QPV95696.1,,3463342,3464656,neg,,DNA circularization N-terminal domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804765.1,22
CDS_CP065831.1_1812725_1814003_pos,CP065831.1,I8N76_08980,QPV99110.1,dalT,1812725,1814003,pos,,D-arabinitol transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227901.1,155
CDS_CP065831.1_3490691_3491417_pos,CP065831.1,I8N76_17500,QPV95734.1,,3490691,3491417,pos,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004119064.1,65
CDS_CP065831.1_3478958_3479459_neg,CP065831.1,I8N76_17390,QPV95713.1,,3478958,3479459,neg,,DUF1804 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804725.1,92
CDS_CP065831.1_3480868_3481522_neg,CP065831.1,I8N76_17415,QPV95718.1,,3480868,3481522,neg,,glycoside hydrolase family 19 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804759.1,74
CDS_CP065831.1_3484237_3484777_neg,CP065831.1,I8N76_17450,QPV95724.1,,3484237,3484777,neg,,HD family hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804718.1,87
CDS_CP065831.1_3253442_3253919_neg,CP065831.1,I8N76_16140,QPV95490.1,,3253442,3253919,neg,,regulatory protein GemA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804741.1,96
CDS_CP065831.1_737010_738282_pos,CP065831.1,I8N76_03750,QPV98148.1,,737010,738282,pos,,minor capsid protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804755.1,24
CDS_CP065832.1_38382_38562_neg,CP065832.1,I8N76_27045,QPW00321.1,,38382,38562,neg,,type II toxin-antitoxin system RelE/ParE family toxin,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004152086.1,145
CDS_CP065831.1_3475149_3476718_neg,CP065831.1,I8N76_17370,QPV95709.1,,3475149,3476718,neg,,DUF935 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804762.1,13
CDS_CP065831.1_2137025_2137919_pos,CP065831.1,I8N76_10600,QPV99394.1,,2137025,2137919,pos,,SUMF1/EgtB/PvdO family nonheme iron enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227563.1,60
CDS_CP065831.1_733414_733744_pos,CP065831.1,I8N76_03735,QPV98145.1,,733414,733744,pos,,ammonia monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804744.1,119
CDS_CP065831.1_3487259_3488153_neg,CP065831.1,I8N76_17485,QPV95731.1,,3487259,3488153,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000053170.1,54
CDS_CP065831.1_3250115_3250616_neg,CP065831.1,I8N76_16100,QPV95482.1,,3250115,3250616,neg,,DUF1804 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804725.1,92
CDS_CP065831.1_3478423_3478753_neg,CP065831.1,I8N76_17380,QPV95711.1,,3478423,3478753,neg,,ammonia monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804744.1,119
CDS_CP065831.1_1803639_1804923_neg,CP065831.1,I8N76_08945,QPV99103.1,,1803639,1804923,neg,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227908.1,155
CDS_CP065831.1_2649519_2651082_neg,CP065831.1,I8N76_13170,QPV99857.1,,2649519,2651082,neg,,DHA2 family efflux MFS transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227027.1,14
CDS_CP065831.1_4840339_4840606_pos,CP065831.1,I8N76_23970,QPV96922.1,,4840339,4840606,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005289972.1,126
CDS_CP065831.1_3466919_3467162_neg,CP065831.1,I8N76_17310,QPW00114.1,,3466919,3467162,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804727.1,136
CDS_CP065831.1_2862130_2863258_pos,CP065831.1,I8N76_14275,QPV95141.1,,2862130,2863258,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001115414.1,36
CDS_CP065831.1_870224_871742_pos,CP065831.1,I8N76_04430,QPV98274.1,lysS,870224,871742,pos,,lysine--tRNA ligase,,6.1.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_001740376.1,15
CDS_CP065831.1_1522512_1523481_pos,CP065831.1,I8N76_07590,QPV98855.1,,1522512,1523481,pos,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,45
CDS_CP065831.1_3467314_3467689_neg,CP065831.1,I8N76_17315,QPV95698.1,,3467314,3467689,neg,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804747.1,114
CDS_CP065831.1_4523752_4524163_pos,CP065831.1,I8N76_22470,QPV96647.1,,4523752,4524163,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225155.1,111
CDS_CP065832.1_110204_111236_neg,CP065832.1,I8N76_27440,QPW00206.1,,110204,111236,neg,,IS630-like element ISEc33 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001395480.1,41
CDS_CP065832.1_117625_118330_pos,CP065832.1,I8N76_27475,QPW00212.1,,117625,118330,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,66
CDS_CP065831.1_3482043_3482481_neg,CP065831.1,I8N76_17425,QPV95720.1,,3482043,3482481,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001446053.1,101
CDS_CP065831.1_1925193_1926297_neg,CP065831.1,I8N76_09470,QPV99201.1,,1925193,1926297,neg,,phosphotransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227807.1,37
CDS_CP065831.1_2132533_2133040_pos,CP065831.1,I8N76_10565,QPV99391.1,,2132533,2133040,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016831252.1,90
CDS_CP065831.1_3454624_3456049_neg,CP065831.1,I8N76_17255,QPV95687.1,,3454624,3456049,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015370202.1,16
CDS_CP065831.1_3469120_3469291_neg,CP065831.1,I8N76_17325,QPV95700.1,,3469120,3469291,neg,,DUF2635 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804729.1,147
CDS_CP065831.1_728078_728768_pos,CP065831.1,I8N76_03670,QPV98133.1,,728078,728768,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804734.1,69
CDS_CP065831.1_3826544_3826997_pos,CP065831.1,I8N76_19055,QPV96019.1,fur,3826544,3826997,pos,,ferric iron uptake transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225838.1,99
CDS_CP065831.1_729265_729742_pos,CP065831.1,I8N76_03685,QPV98135.1,,729265,729742,pos,,regulatory protein GemA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804741.1,96
CDS_CP065831.1_3232556_3233138_neg,CP065831.1,I8N76_16000,QPV95463.1,,3232556,3233138,neg,,phage baseplate assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804720.1,82
CDS_CP065832.1_161465_161684_neg,CP065832.1,I8N76_27710,QPW00253.1,,161465,161684,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229712.1,138
CDS_CP065831.1_2743117_2743861_pos,CP065831.1,I8N76_13635,QPV95020.1,,2743117,2743861,pos,,sulfite exporter TauE/SafE family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226925.1,71
CDS_CP065831.1_3348480_3350484_neg,CP065831.1,I8N76_16700,QPV95587.1,tkt,3348480,3350484,neg,,transketolase,,2.2.1.1,,COORDINATES: similar to AA sequence:RefSeq:WP_017146112.1,149
CDS_CP065831.1_3225631_3227056_neg,CP065831.1,I8N76_15965,QPV95456.1,,3225631,3227056,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015370202.1,16
CDS_CP065831.1_4831718_4832588_pos,CP065831.1,I8N76_23910,QPV96914.1,,4831718,4832588,pos,,HNH endonuclease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224862.1,55
CDS_CP065831.1_742876_743047_pos,CP065831.1,I8N76_03790,QPV98156.1,,742876,743047,pos,,DUF2635 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804729.1,147
CDS_CP065831.1_3456048_3458040_neg,CP065831.1,I8N76_17260,QPV95688.1,,3456048,3458040,neg,,right-handed parallel beta-helix repeat-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004144712.1,7
CDS_CP065831.1_3461127_3461484_neg,CP065831.1,I8N76_17285,QPV95693.1,,3461127,3461484,neg,,phage GP46 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000372929.1,117
CDS_CP065831.1_721941_724002_pos,CP065831.1,I8N76_03625,QPV98124.1,,721941,724002,pos,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004119062.1,6
CDS_CP065832.1_53922_54405_pos,CP065832.1,I8N76_27160,QPW00342.1,,53922,54405,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462552.1,98
CDS_CP065831.1_3473353_3473896_neg,CP065831.1,I8N76_17360,QPV95707.1,,3473353,3473896,neg,,phage virion morphogenesis protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804731.1,86
CDS_CP065831.1_2124597_2125953_pos,CP065831.1,I8N76_10515,QPV99382.1,,2124597,2125953,pos,,S-type pyocin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227572.1,34
CDS_CP065831.1_2622838_2623534_neg,CP065831.1,I8N76_13035,QPV99834.1,tenA,2622838,2623534,neg,,thiaminase II,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227052.1,70
CDS_CP065831.1_187291_188614_pos,CP065831.1,I8N76_00925,QPV97616.1,xylA,187291,188614,pos,,xylose isomerase,,5.3.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005229388.1,151
CDS_CP065831.1_3238787_3240206_neg,CP065831.1,I8N76_16030,QPV95468.1,,3238787,3240206,neg,,phage tail sheath subtilisin-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804728.1,17
CDS_CP065832.1_102073_103327_pos,CP065832.1,I8N76_27395,QPW00200.1,lacY,102073,103327,pos,,lactose permease,,,,COORDINATES: similar to AA sequence:RefSeq:NP_414877.1,29
CDS_CP065831.1_3258366_3259260_neg,CP065831.1,I8N76_16195,QPV95500.1,,3258366,3259260,neg,,ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000053170.1,54
CDS_CP065831.1_944353_945370_neg,CP065831.1,I8N76_04800,QPV98340.1,galR,944353,945370,neg,,HTH-type transcriptional regulator GalR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228611.1,44
CDS_CP065831.1_2264633_2265818_neg,CP065831.1,I8N76_11225,QPV99501.1,lldD,2264633,2265818,neg,,FMN-dependent L-lactate dehydrogenase LldD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227433.1,31
CDS_CP065832.1_95039_95333_pos,CP065832.1,I8N76_27365,QPW00382.1,tnpB,95039,95333,pos,,IS66 family insertion sequence element accessory protein TnpB,,,,COORDINATES: similar to AA sequence:RefSeq:NP_858152.1,122
CDS_CP065831.1_733201_733411_pos,CP065831.1,I8N76_03730,QPV98144.1,,733201,733411,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804740.1,141
CDS_CP065831.1_724014_724908_pos,CP065831.1,I8N76_03630,QPV98125.1,,724014,724908,pos,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000053170.1,54
CDS_CP065831.1_4807981_4808665_neg,CP065831.1,I8N76_23800,QPV96893.1,cusR,4807981,4808665,neg,,copper response regulator transcription factor CusR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224886.1,150
CDS_CP065831.1_3485010_3485529_neg,CP065831.1,I8N76_17460,QPV95726.1,,3485010,3485529,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,89
CDS_CP065831.1_1525284_1526139_pos,CP065831.1,I8N76_07615,QPW00006.1,,1525284,1526139,pos,,IS3 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011871062.1,58
CDS_CP065831.1_4824241_4825624_neg,CP065831.1,I8N76_23885,QPV96910.1,,4824241,4825624,neg,,carbohydrate porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224868.1,2
CDS_CP065831.1_3249580_3249910_neg,CP065831.1,I8N76_16090,QPV95480.1,,3249580,3249910,neg,,ammonia monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804744.1,119
CDS_CP065831.1_3480013_3480649_neg,CP065831.1,I8N76_17405,QPV95716.1,,3480013,3480649,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804760.1,78
CDS_CP065831.1_4825894_4827214_neg,CP065831.1,I8N76_23890,QPV96911.1,xylA,4825894,4827214,neg,,xylose isomerase,,5.3.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005224866.1,151
CDS_CP065832.1_108257_108542_pos,CP065832.1,I8N76_27425,QPW00204.1,,108257,108542,pos,,IS3 family transposase,,,,COORDINATES: protein motif:HMM:NF013677.1,123
CDS_CP065831.1_731518_732154_pos,CP065831.1,I8N76_03710,QPV98140.1,,731518,732154,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804760.1,78
CDS_CP065831.1_721673_721937_pos,CP065831.1,I8N76_03620,QPV98123.1,,721673,721937,pos,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011815758.1,128
CDS_CP065831.1_3469927_3470356_neg,CP065831.1,I8N76_17335,QPV95702.1,,3469927,3470356,neg,,DUF1320 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804749.1,109
CDS_CP065831.1_3592225_3592843_neg,CP065831.1,I8N76_17930,QPV95813.1,dmsB,3592225,3592843,neg,,dimethylsulfoxide reductase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226106.1,79
CDS_CP065831.1_3093250_3093439_pos,CP065831.1,I8N76_15325,QPV95335.1,,3093250,3093439,pos,,cold-shock protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004176439.1,142
CDS_CP065831.1_3257696_3257888_neg,CP065831.1,I8N76_16180,QPV95498.1,,3257696,3257888,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804717.1,144
CDS_CP065831.1_3460066_3461128_neg,CP065831.1,I8N76_17280,QPV95692.1,,3460066,3461128,neg,,baseplate J/gp47 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804712.1,42
CDS_CP065831.1_3252025_3252679_neg,CP065831.1,I8N76_16125,QPV95487.1,,3252025,3252679,neg,,glycoside hydrolase family 19 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804759.1,74
CDS_CP065832.1_14232_15440_neg,CP065832.1,I8N76_26935,QPW00377.1,,14232,15440,neg,,IS3 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611134.1,25
CDS_CP065831.1_3500619_3501705_pos,CP065831.1,I8N76_17540,QPV95741.1,,3500619,3501705,pos,,tartrate dehydrogenase,,1.1.1.93,,COORDINATES: similar to AA sequence:RefSeq:WP_012068535.1,38
CDS_CP065831.1_5221794_5222979_neg,CP065831.1,I8N76_25690,QPV97239.1,tuf,5221794,5222979,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224494.1,32
CDS_CP065832.1_159843_160242_neg,CP065832.1,I8N76_27690,QPW00250.1,,159843,160242,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229708.1,112
CDS_CP065831.1_3478756_3478966_neg,CP065831.1,I8N76_17385,QPV95712.1,,3478756,3478966,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804740.1,141
CDS_CP065832.1_11195_13193_neg,CP065832.1,I8N76_26925,QPW00302.1,betT,11195,13193,neg,,choline BCCT transporter BetT,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004119118.1,8
CDS_CP065831.1_756118_757543_pos,CP065831.1,I8N76_03860,QPV98169.1,,756118,757543,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015370202.1,16
CDS_CP065831.1_2317341_2318541_neg,CP065831.1,I8N76_11495,QPV99549.1,,2317341,2318541,neg,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227373.1,35
CDS_CP065831.1_1918556_1920467_pos,CP065831.1,I8N76_09430,QPV99194.1,,1918556,1920467,pos,,EAL domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227815.1,9
CDS_CP065831.1_3473885_3475157_neg,CP065831.1,I8N76_17365,QPV95708.1,,3473885,3475157,neg,,minor capsid protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804755.1,24
CDS_CP065831.1_2864713_2865331_pos,CP065831.1,I8N76_14285,QPV95142.1,dmsB,2864713,2865331,pos,,dimethylsulfoxide reductase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226791.1,79
CDS_CP065831.1_727390_727930_pos,CP065831.1,I8N76_03665,QPV98132.1,,727390,727930,pos,,HD family hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804718.1,87
CDS_CP065831.1_747511_748825_pos,CP065831.1,I8N76_03815,QPV98160.1,,747511,748825,pos,,DNA circularization N-terminal domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804765.1,22
CDS_CP065831.1_3449657_3449831_neg,CP065831.1,I8N76_17210,QPV95678.1,,3449657,3449831,neg,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,148
CDS_CP065831.1_745005_745248_pos,CP065831.1,I8N76_03805,QPV99970.1,,745005,745248,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804727.1,136
CDS_CP065832.1_108538_109393_pos,CP065832.1,I8N76_27430,QPW00384.1,,108538,109393,pos,,IS3 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011871062.1,58
CDS_CP065831.1_3472033_3473119_neg,CP065831.1,I8N76_17355,QPV95706.1,,3472033,3473119,neg,,phage protease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005276848.1,39
CDS_CP065831.1_3479771_3480017_neg,CP065831.1,I8N76_17400,QPV95715.1,,3479771,3480017,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804737.1,135
CDS_CP065831.1_725385_725577_pos,CP065831.1,I8N76_03645,QPV98128.1,,725385,725577,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804717.1,144
CDS_CP065831.1_3337787_3339151_neg,CP065831.1,I8N76_16660,QPV95579.1,,3337787,3339151,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065831.1_3747448_3748387_neg,CP065831.1,I8N76_18615,QPV95946.1,hutU,3747448,3748387,neg,,urocanate hydratase,,4.2.1.49,,COORDINATES: protein motif:HMM:NF036635.1,46
CDS_CP065831.1_3232134_3232491_neg,CP065831.1,I8N76_15995,QPV95462.1,,3232134,3232491,neg,,phage GP46 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000372929.1,117
CDS_CP065831.1_49999_51379_neg,CP065831.1,I8N76_00260,QPV97494.1,,49999,51379,neg,,carbohydrate porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229527.1,2
CDS_CP065831.1_4761816_4763187_neg,CP065831.1,I8N76_23565,QPV96852.1,,4761816,4763187,neg,,NAD-dependent succinate-semialdehyde dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224918.1,20
CDS_CP065831.1_731280_731529_pos,CP065831.1,I8N76_03705,QPV98139.1,,731280,731529,pos,,DUF2644 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804746.1,130
CDS_CP065831.1_2342395_2342758_pos,CP065831.1,I8N76_11610,QPV99570.1,,2342395,2342758,pos,,TonB family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016831876.1,116
CDS_CP065831.1_1877963_1878968_neg,CP065831.1,I8N76_09230,QPV99157.1,,1877963,1878968,neg,,NAD-dependent epimerase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227851.1,43
CDS_CP065831.1_3065714_3068234_neg,CP065831.1,I8N76_15230,QPV95317.1,vgrG,3065714,3068234,neg,,type VI secretion system tip protein VgrG,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004179552.1,3
CDS_CP065831.1_733746_735450_pos,CP065831.1,I8N76_03740,QPV98146.1,terL,733746,735450,pos,,phage terminase large subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804761.1,11
CDS_CP065831.1_1969776_1970325_pos,CP065831.1,I8N76_09715,QPV99240.1,pgsA,1969776,1970325,pos,,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,,2.7.8.5,,COORDINATES: similar to AA sequence:RefSeq:NP_310677.1,88
CDS_CP065831.1_169407_171315_neg,CP065831.1,I8N76_00850,QPV97604.1,mtlA,169407,171315,neg,,PTS mannitol transporter subunit IICBA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229402.1,10
CDS_CP065831.1_3076431_3078774_neg,CP065831.1,I8N76_15265,QPW00093.1,vgrG,3076431,3078774,neg,,type VI secretion system tip protein VgrG,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020316462.1,3
CDS_CP065831.1_3255048_3255726_neg,CP065831.1,I8N76_16155,QPV95493.1,,3255048,3255726,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804734.1,69
CDS_CP065831.1_2127263_2128619_pos,CP065831.1,I8N76_10530,QPV99384.1,,2127263,2128619,pos,,S-type pyocin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227572.1,33
CDS_CP065832.1_75129_76098_neg,CP065832.1,I8N76_27270,QPW00357.1,,75129,76098,neg,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,45
CDS_CP065831.1_3247874_3249578_neg,CP065831.1,I8N76_16085,QPV95479.1,terL,3247874,3249578,neg,,phage terminase large subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804761.1,11
CDS_CP065831.1_3251795_3252044_neg,CP065831.1,I8N76_16120,QPV95486.1,,3251795,3252044,neg,,DUF2644 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804746.1,130
CDS_CP065831.1_17059_17488_pos,CP065831.1,I8N76_00080,QPV97464.1,ibpB,17059,17488,pos,,heat shock chaperone IbpB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229563.1,105
CDS_CP065831.1_2901591_2903244_pos,CP065831.1,I8N76_14455,QPV95174.1,,2901591,2903244,pos,,class I fumarate hydratase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226753.1,154
CDS_CP065831.1_832383_834375_pos,CP065831.1,I8N76_04245,QPV98239.1,tkt,832383,834375,pos,,transketolase,,2.2.1.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005228723.1,149
