,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,type,ID,Parent,Name,gbkey,transl_table,source,phase,end_range,partial,start_range
CDS_NC_009641.1_637974_638958_pos,NWMN_RS03175,WP_000597335.1,mvaD,637974,638958,pos,,diphosphomevalonate decarboxylase,Genbank:WP_000597335.1,COORDINATES: similar to AA sequence:RefSeq:YP_499145.1,CDS,cds-WP_000597335.1,gene-NWMN_RS03175,WP_000597335.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_638970_640047_pos,NWMN_RS03180,WP_000616885.1,,638970,640047,pos,,phosphomevalonate kinase,Genbank:WP_000616885.1,COORDINATES: similar to AA sequence:RefSeq:YP_499146.1,CDS,cds-WP_000616885.1,gene-NWMN_RS03180,WP_000616885.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_640223_640565_pos,NWMN_RS03185,WP_000798967.1,,640223,640565,pos,,DUF1450 domain-containing protein,Genbank:WP_000798967.1,COORDINATES: similar to AA sequence:RefSeq:YP_499147.1,CDS,cds-WP_000798967.1,gene-NWMN_RS03185,WP_000798967.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_640617_641940_neg,NWMN_RS03190,WP_000860581.1,,640617,641940,neg,,FAD-containing oxidoreductase,Genbank:WP_000860581.1,COORDINATES: similar to AA sequence:RefSeq:YP_499148.1,CDS,cds-WP_000860581.1,gene-NWMN_RS03190,WP_000860581.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_641926_642367_neg,NWMN_RS03195,WP_001047239.1,,641926,642367,neg,,Rrf2 family transcriptional regulator,Genbank:WP_001047239.1,COORDINATES: similar to AA sequence:RefSeq:WP_006189740.1,CDS,cds-WP_001047239.1,gene-NWMN_RS03195,WP_001047239.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_642424_642526_pos,NWMN_RS03200,WP_001788276.1,,642424,642526,pos,,hypothetical protein,Genbank:WP_001788276.1,COORDINATES: similar to AA sequence:RefSeq:YP_499150.1,CDS,cds-WP_001788276.1,gene-NWMN_RS03200,WP_001788276.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_642991_644401_pos,NWMN_RS03205,WP_000020800.1,,642991,644401,pos,,transposase,Genbank:WP_000020800.1,COORDINATES: similar to AA sequence:RefSeq:YP_499151.1,CDS,cds-WP_000020800.1,gene-NWMN_RS03205,WP_000020800.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_644404_645031_pos,NWMN_RS03210,WP_000898356.1,,644404,645031,pos,,DUF443 family protein,Genbank:WP_000898356.1,COORDINATES: similar to AA sequence:RefSeq:WP_001836194.1,CDS,cds-WP_000898356.1,gene-NWMN_RS03210,WP_000898356.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_645156_645798_pos,NWMN_RS03215,WP_000404342.1,,645156,645798,pos,,DUF443 domain-containing protein,Genbank:WP_000404342.1,COORDINATES: similar to AA sequence:RefSeq:YP_499153.1,CDS,cds-WP_000404342.1,gene-NWMN_RS03215,WP_000404342.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_645906_646503_pos,NWMN_RS03220,WP_076035576.1,,645906,646503,pos,,DUF443 family protein,Genbank:WP_076035576.1,COORDINATES: similar to AA sequence:RefSeq:YP_499154.1,CDS,cds-WP_076035576.1,gene-NWMN_RS03220,WP_076035576.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_646577_647207_pos,NWMN_RS03225,WP_000882146.1,,646577,647207,pos,,DUF443 domain-containing protein,Genbank:WP_000882146.1,COORDINATES: similar to AA sequence:RefSeq:YP_499155.1,CDS,cds-WP_000882146.1,gene-NWMN_RS03225,WP_000882146.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_647263_647380_pos,NWMN_RS03230,WP_001788281.1,,647263,647380,pos,,hypothetical protein,Genbank:WP_001788281.1,COORDINATES: similar to AA sequence:RefSeq:YP_499156.1,CDS,cds-WP_001788281.1,gene-NWMN_RS03230,WP_001788281.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_647402_648023_pos,NWMN_RS03235,WP_000882085.1,,647402,648023,pos,,DUF443 family protein,Genbank:WP_000882085.1,COORDINATES: similar to AA sequence:RefSeq:WP_000882081.1,CDS,cds-WP_000882085.1,gene-NWMN_RS03235,WP_000882085.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_648153_648795_pos,NWMN_RS03240,WP_001793603.1,,648153,648795,pos,,DUF443 domain-containing protein,Genbank:WP_001793603.1,COORDINATES: similar to AA sequence:RefSeq:YP_499158.1,CDS,cds-WP_001793603.1,gene-NWMN_RS03240,WP_001793603.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_648841_649471_pos,NWMN_RS03245,WP_000882138.1,,648841,649471,pos,,DUF443 family protein,Genbank:WP_000882138.1,COORDINATES: similar to AA sequence:RefSeq:WP_001837136.1,CDS,cds-WP_000882138.1,gene-NWMN_RS03245,WP_000882138.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_649670_649923_pos,NWMN_RS15170,,,649670,649923,pos,true,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_016187048.1,CDS,cds-NWMN_RS15170,gene-NWMN_RS15170,,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_649923_650553_pos,NWMN_RS03250,WP_000923036.1,,649923,650553,pos,,DUF443 domain-containing protein,Genbank:WP_000923036.1,COORDINATES: similar to AA sequence:RefSeq:YP_499161.1,CDS,cds-WP_000923036.1,gene-NWMN_RS03250,WP_000923036.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_650642_650825_neg,NWMN_RS15175,WP_078061236.1,,650642,650825,neg,,hypothetical protein,Genbank:WP_078061236.1,COORDINATES: similar to AA sequence:RefSeq:WP_016187392.1,CDS,cds-WP_078061236.1,gene-NWMN_RS15175,WP_078061236.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_650748_651317_pos,NWMN_RS03255,,,650748,651317,pos,true,DUF443 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:YP_499162.1,CDS,cds-NWMN_RS03255,gene-NWMN_RS03255,,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_651353_651989_pos,NWMN_RS03260,WP_000882123.1,,651353,651989,pos,,DUF443 domain-containing protein,Genbank:WP_000882123.1,COORDINATES: similar to AA sequence:RefSeq:YP_499163.1,CDS,cds-WP_000882123.1,gene-NWMN_RS03260,WP_000882123.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_651939_652200_pos,NWMN_RS03265,WP_001797309.1,,651939,652200,pos,,hypothetical protein,Genbank:WP_001797309.1,COORDINATES: similar to AA sequence:RefSeq:YP_499164.1,CDS,cds-WP_001797309.1,gene-NWMN_RS03265,WP_001797309.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_652223_652850_pos,NWMN_RS03270,WP_000923053.1,,652223,652850,pos,,DUF443 domain-containing protein,Genbank:WP_000923053.1,COORDINATES: similar to AA sequence:RefSeq:YP_499165.1,CDS,cds-WP_000923053.1,gene-NWMN_RS03270,WP_000923053.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_653119_654058_pos,NWMN_RS03275,WP_000808902.1,,653119,654058,pos,,aldo/keto reductase,Genbank:WP_000808902.1,COORDINATES: similar to AA sequence:RefSeq:YP_499166.1,CDS,cds-WP_000808902.1,gene-NWMN_RS03275,WP_000808902.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_654268_654805_pos,NWMN_RS03280,WP_000633782.1,,654268,654805,pos,,flavodoxin family protein,Genbank:WP_000633782.1,COORDINATES: similar to AA sequence:RefSeq:YP_499167.1,CDS,cds-WP_000633782.1,gene-NWMN_RS03280,WP_000633782.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_654973_655450_pos,NWMN_RS03285,WP_000477504.1,,654973,655450,pos,,GNAT family N-acetyltransferase,Genbank:WP_000477504.1,COORDINATES: similar to AA sequence:RefSeq:YP_499168.1,CDS,cds-WP_000477504.1,gene-NWMN_RS03285,WP_000477504.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_655489_656785_pos,NWMN_RS03290,WP_000180230.1,,655489,656785,pos,,HD domain-containing protein,Genbank:WP_000180230.1,COORDINATES: similar to AA sequence:RefSeq:YP_499169.1,CDS,cds-WP_000180230.1,gene-NWMN_RS03290,WP_000180230.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_656812_657334_pos,NWMN_RS03295,WP_001788287.1,,656812,657334,pos,,hypothetical protein,Genbank:WP_001788287.1,COORDINATES: similar to AA sequence:RefSeq:YP_499170.1,CDS,cds-WP_001788287.1,gene-NWMN_RS03295,WP_001788287.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_657832_658843_pos,NWMN_RS03300,WP_001200748.1,adhP,657832,658843,pos,,alcohol dehydrogenase AdhP,Genbank:WP_001200748.1,COORDINATES: similar to AA sequence:RefSeq:YP_499171.1,CDS,cds-WP_001200748.1,gene-NWMN_RS03300,WP_001200748.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_658917_659025_pos,NWMN_RS03305,WP_000655099.1,,658917,659025,pos,,hypothetical protein,Genbank:WP_000655099.1,COORDINATES: similar to AA sequence:RefSeq:YP_499172.1,CDS,cds-WP_000655099.1,gene-NWMN_RS03305,WP_000655099.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_659150_659534_pos,NWMN_RS03310,WP_001819741.1,,659150,659534,pos,,DUF1934 family protein,Genbank:WP_001819741.1,COORDINATES: similar to AA sequence:RefSeq:YP_499173.1,CDS,cds-WP_001819741.1,gene-NWMN_RS03310,WP_001819741.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_659530_661192_pos,NWMN_RS03315,WP_001021145.1,,659530,661192,pos,,arginine--tRNA ligase,Genbank:WP_001021145.1,COORDINATES: similar to AA sequence:RefSeq:YP_499174.1,CDS,cds-WP_001021145.1,gene-NWMN_RS03315,WP_001021145.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_661580_662216_pos,NWMN_RS03320,WP_000901764.1,,661580,662216,pos,,endonuclease III domain-containing protein,Genbank:WP_000901764.1,COORDINATES: similar to AA sequence:RefSeq:YP_499175.1,CDS,cds-WP_000901764.1,gene-NWMN_RS03320,WP_000901764.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_662654_663482_pos,NWMN_RS03325,WP_001813976.1,,662654,663482,pos,,ABC transporter substrate-binding protein,Genbank:WP_001813976.1,COORDINATES: similar to AA sequence:RefSeq:YP_499176.1,CDS,cds-WP_001813976.1,gene-NWMN_RS03325,WP_001813976.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_663629_664580_pos,NWMN_RS03330,WP_001790232.1,,663629,664580,pos,,iron ABC transporter permease,Genbank:WP_001790232.1,COORDINATES: similar to AA sequence:RefSeq:YP_499177.1,CDS,cds-WP_001790232.1,gene-NWMN_RS03330,WP_001790232.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_664634_665354_pos,NWMN_RS03335,WP_000365354.1,,664634,665354,pos,,HAD family hydrolase,Genbank:WP_000365354.1,COORDINATES: similar to AA sequence:RefSeq:YP_499178.1,CDS,cds-WP_000365354.1,gene-NWMN_RS03335,WP_000365354.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_665337_666138_pos,NWMN_RS03340,WP_000362967.1,,665337,666138,pos,,alpha/beta hydrolase,Genbank:WP_000362967.1,COORDINATES: similar to AA sequence:RefSeq:YP_499179.1,CDS,cds-WP_000362967.1,gene-NWMN_RS03340,WP_000362967.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_666273_666780_pos,NWMN_RS03345,WP_000735558.1,,666273,666780,pos,,hypothetical protein,Genbank:WP_000735558.1,COORDINATES: similar to AA sequence:RefSeq:YP_499180.1,CDS,cds-WP_000735558.1,gene-NWMN_RS03345,WP_000735558.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_666941_667658_pos,NWMN_RS03350,WP_001222133.1,,666941,667658,pos,,hypothetical protein,Genbank:WP_001222133.1,COORDINATES: similar to AA sequence:RefSeq:YP_499181.1,CDS,cds-WP_001222133.1,gene-NWMN_RS03350,WP_001222133.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_667826_668615_pos,NWMN_RS03355,WP_001045421.1,,667826,668615,pos,,alpha/beta hydrolase,Genbank:WP_001045421.1,COORDINATES: similar to AA sequence:RefSeq:YP_499182.1,CDS,cds-WP_001045421.1,gene-NWMN_RS03355,WP_001045421.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_668865_669240_neg,NWMN_RS03360,WP_001018677.1,,668865,669240,neg,,transcriptional regulator,Genbank:WP_001018677.1,COORDINATES: similar to AA sequence:RefSeq:YP_499183.1,CDS,cds-WP_001018677.1,gene-NWMN_RS03360,WP_001018677.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_670187_671117_neg,NWMN_RS03365,WP_001553862.1,,670187,671117,neg,,DMT family transporter,Genbank:WP_001553862.1,COORDINATES: similar to AA sequence:RefSeq:WP_001574632.1,CDS,cds-WP_001553862.1,gene-NWMN_RS03365,WP_001553862.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_671311_671536_neg,NWMN_RS03370,WP_000169042.1,,671311,671536,neg,,DUF2922 domain-containing protein,Genbank:WP_000169042.1,COORDINATES: similar to AA sequence:RefSeq:YP_499185.2,CDS,cds-WP_000169042.1,gene-NWMN_RS03370,WP_000169042.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_671552_671756_neg,NWMN_RS03375,WP_000036088.1,,671552,671756,neg,,hypothetical protein,Genbank:WP_000036088.1,COORDINATES: similar to AA sequence:RefSeq:WP_001837138.1,CDS,cds-WP_000036088.1,gene-NWMN_RS03375,WP_000036088.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_671914_672475_pos,NWMN_RS03380,WP_001044915.1,,671914,672475,pos,,tyrosine-type recombinase/integrase,Genbank:WP_001044915.1,COORDINATES: similar to AA sequence:RefSeq:YP_499186.1,CDS,cds-WP_001044915.1,gene-NWMN_RS03380,WP_001044915.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_672493_674896_pos,NWMN_RS03385,WP_000060776.1,,672493,674896,pos,,DUF4040 family protein,Genbank:WP_000060776.1,COORDINATES: similar to AA sequence:RefSeq:YP_499187.1,CDS,cds-WP_000060776.1,gene-NWMN_RS03385,WP_000060776.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_674882_675308_pos,NWMN_RS03390,WP_000661906.1,,674882,675308,pos,,monovalent cation/H+ antiporter subunit B,Genbank:WP_000661906.1,COORDINATES: similar to AA sequence:RefSeq:YP_499188.1,CDS,cds-WP_000661906.1,gene-NWMN_RS03390,WP_000661906.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_675304_675649_pos,NWMN_RS03395,WP_001048985.1,,675304,675649,pos,,cation:proton antiporter,Genbank:WP_001048985.1,COORDINATES: similar to AA sequence:RefSeq:YP_499189.1,CDS,cds-WP_001048985.1,gene-NWMN_RS03395,WP_001048985.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_675638_677135_pos,NWMN_RS03400,WP_000950548.1,,675638,677135,pos,,Na+/H+ antiporter subunit D,Genbank:WP_000950548.1,COORDINATES: similar to AA sequence:RefSeq:YP_499190.1,CDS,cds-WP_000950548.1,gene-NWMN_RS03400,WP_000950548.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_677135_677618_pos,NWMN_RS03405,WP_001071973.1,,677135,677618,pos,,Na+/H+ antiporter subunit E,Genbank:WP_001071973.1,COORDINATES: similar to AA sequence:RefSeq:YP_499191.1,CDS,cds-WP_001071973.1,gene-NWMN_RS03405,WP_001071973.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_677614_677917_pos,NWMN_RS03410,WP_000616642.1,,677614,677917,pos,,cation:proton antiporter,Genbank:WP_000616642.1,COORDINATES: similar to AA sequence:RefSeq:WP_000616643.1,CDS,cds-WP_000616642.1,gene-NWMN_RS03410,WP_000616642.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_677870_678329_pos,NWMN_RS03415,WP_011446991.1,,677870,678329,pos,,Na+/H+ antiporter subunit G,Genbank:WP_011446991.1,COORDINATES: similar to AA sequence:RefSeq:YP_499193.1,CDS,cds-WP_011446991.1,gene-NWMN_RS03415,WP_011446991.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_678668_680711_pos,NWMN_RS03420,WP_000402172.1,,678668,680711,pos,,sodium:proton antiporter,Genbank:WP_000402172.1,COORDINATES: similar to AA sequence:RefSeq:NP_763959.1,CDS,cds-WP_000402172.1,gene-NWMN_RS03420,WP_000402172.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_681870_682800_neg,NWMN_RS03425,WP_000737654.1,,681870,682800,neg,,metal ABC transporter substrate-binding protein,Genbank:WP_000737654.1,COORDINATES: similar to AA sequence:RefSeq:YP_499195.1,CDS,cds-WP_000737654.1,gene-NWMN_RS03425,WP_000737654.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_682796_683633_neg,NWMN_RS03430,WP_000889252.1,,682796,683633,neg,,metal ABC transporter permease,Genbank:WP_000889252.1,COORDINATES: similar to AA sequence:RefSeq:YP_499196.1,CDS,cds-WP_000889252.1,gene-NWMN_RS03430,WP_000889252.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_683626_684370_neg,NWMN_RS03435,WP_000894464.1,,683626,684370,neg,,metal ABC transporter ATP-binding protein,Genbank:WP_000894464.1,COORDINATES: similar to AA sequence:RefSeq:YP_499197.1,CDS,cds-WP_000894464.1,gene-NWMN_RS03435,WP_000894464.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_684491_685136_pos,NWMN_RS03440,WP_000954654.1,,684491,685136,pos,,metal-dependent transcriptional regulator,Genbank:WP_000954654.1,COORDINATES: similar to AA sequence:RefSeq:YP_499198.1,CDS,cds-WP_000954654.1,gene-NWMN_RS03440,WP_000954654.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_685215_685966_neg,NWMN_RS03445,,,685215,685966,neg,true,M50 family metallopeptidase,,COORDINATES: similar to AA sequence:RefSeq:YP_499199.1,CDS,cds-NWMN_RS03445,gene-NWMN_RS03445,,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_686201_686966_pos,NWMN_RS03450,WP_000215388.1,,686201,686966,pos,,WecB/TagA/CpsF family glycosyltransferase,Genbank:WP_000215388.1,COORDINATES: similar to AA sequence:RefSeq:YP_499200.1,CDS,cds-WP_000215388.1,gene-NWMN_RS03450,WP_000215388.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_687026_687821_neg,NWMN_RS03455,WP_001103232.1,tagH,687026,687821,neg,,teichoic acids export ABC transporter ATP-binding subunit TagH,Genbank:WP_001103232.1,COORDINATES: similar to AA sequence:RefSeq:YP_499201.1,CDS,cds-WP_001103232.1,gene-NWMN_RS03455,WP_001103232.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_688167_688980_pos,NWMN_RS03460,WP_001273058.1,tagG,688167,688980,pos,,teichoic acids export ABC transporter permease subunit TagG,Genbank:WP_001273058.1,COORDINATES: similar to AA sequence:RefSeq:YP_499202.1,CDS,cds-WP_001273058.1,gene-NWMN_RS03460,WP_001273058.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_689078_690182_pos,NWMN_RS03465,WP_001101603.1,,689078,690182,pos,,CDP-glycerol glycerophosphotransferase family protein,Genbank:WP_001101603.1,COORDINATES: similar to AA sequence:RefSeq:YP_499203.1,CDS,cds-WP_001101603.1,gene-NWMN_RS03465,WP_001101603.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_690178_691240_pos,NWMN_RS03470,WP_001212874.1,,690178,691240,pos,,glycosyltransferase family 2 protein,Genbank:WP_001212874.1,COORDINATES: similar to AA sequence:RefSeq:YP_499204.1,CDS,cds-WP_001212874.1,gene-NWMN_RS03470,WP_001212874.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_691302_691701_pos,NWMN_RS03475,WP_000832260.1,tagD,691302,691701,pos,,glycerol-3-phosphate cytidylyltransferase,Genbank:WP_000832260.1,COORDINATES: similar to AA sequence:RefSeq:YP_499205.1,CDS,cds-WP_000832260.1,gene-NWMN_RS03475,WP_000832260.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_691817_693113_neg,NWMN_RS03480,WP_000793070.1,,691817,693113,neg,,D-alanyl-D-alanine carboxypeptidase,Genbank:WP_000793070.1,COORDINATES: similar to AA sequence:RefSeq:YP_499206.1,CDS,cds-WP_000793070.1,gene-NWMN_RS03480,WP_000793070.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_693533_695261_pos,NWMN_RS03485,WP_000817954.1,,693533,695261,pos,,ABC transporter ATP-binding protein,Genbank:WP_000817954.1,COORDINATES: similar to AA sequence:RefSeq:YP_499207.1,CDS,cds-WP_000817954.1,gene-NWMN_RS03485,WP_000817954.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_695619_696849_pos,NWMN_RS03490,WP_000479279.1,,695619,696849,pos,,nucleoside permease,Genbank:WP_000479279.1,COORDINATES: similar to AA sequence:RefSeq:YP_499208.1,CDS,cds-WP_000479279.1,gene-NWMN_RS03490,WP_000479279.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_697103_697196_pos,NWMN_RS03495,WP_001788321.1,,697103,697196,pos,,hypothetical protein,Genbank:WP_001788321.1,COORDINATES: similar to AA sequence:RefSeq:YP_499209.1,CDS,cds-WP_001788321.1,gene-NWMN_RS03495,WP_001788321.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_697373_698207_pos,NWMN_RS03500,WP_001044662.1,,697373,698207,pos,,YitT family protein,Genbank:WP_001044662.1,COORDINATES: similar to AA sequence:RefSeq:YP_499210.1,CDS,cds-WP_001044662.1,gene-NWMN_RS03500,WP_001044662.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_698488_699286_pos,NWMN_RS03505,WP_001080809.1,,698488,699286,pos,,ABC transporter ATP-binding protein,Genbank:WP_001080809.1,COORDINATES: similar to AA sequence:RefSeq:YP_499211.1,CDS,cds-WP_001080809.1,gene-NWMN_RS03505,WP_001080809.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_699321_700326_pos,NWMN_RS03510,WP_000184741.1,,699321,700326,pos,,iron ABC transporter permease,Genbank:WP_000184741.1,COORDINATES: similar to AA sequence:RefSeq:YP_499212.1,CDS,cds-WP_000184741.1,gene-NWMN_RS03510,WP_000184741.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_700322_701339_pos,NWMN_RS03515,WP_000625878.1,,700322,701339,pos,,iron ABC transporter permease,Genbank:WP_000625878.1,COORDINATES: similar to AA sequence:RefSeq:YP_499213.1,CDS,cds-WP_000625878.1,gene-NWMN_RS03515,WP_000625878.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_701572_702541_pos,NWMN_RS03520,WP_000976269.1,dhaK,701572,702541,pos,,dihydroxyacetone kinase subunit DhaK,Genbank:WP_000976269.1,COORDINATES: similar to AA sequence:RefSeq:YP_499214.1,CDS,cds-WP_000976269.1,gene-NWMN_RS03520,WP_000976269.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_702582_703167_pos,NWMN_RS03525,WP_000867203.1,dhaL,702582,703167,pos,,dihydroxyacetone kinase subunit L,Genbank:WP_000867203.1,COORDINATES: similar to AA sequence:RefSeq:YP_499215.1,CDS,cds-WP_000867203.1,gene-NWMN_RS03525,WP_000867203.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_703159_703522_pos,NWMN_RS03530,WP_001124167.1,,703159,703522,pos,,PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM,Genbank:WP_001124167.1,COORDINATES: similar to AA sequence:RefSeq:YP_499216.1,CDS,cds-WP_001124167.1,gene-NWMN_RS03530,WP_001124167.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_703637_704135_pos,NWMN_RS03535,WP_001164085.1,,703637,704135,pos,,hypothetical protein,Genbank:WP_001164085.1,COORDINATES: similar to AA sequence:RefSeq:YP_499217.1,CDS,cds-WP_001164085.1,gene-NWMN_RS03535,WP_001164085.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_704590_705658_pos,NWMN_RS03540,WP_000980137.1,,704590,705658,pos,,membrane protein,Genbank:WP_000980137.1,COORDINATES: similar to AA sequence:RefSeq:YP_499218.1,CDS,cds-WP_000980137.1,gene-NWMN_RS03540,WP_000980137.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_705808_706852_pos,NWMN_RS03545,WP_001030771.1,,705808,706852,pos,,alpha/beta hydrolase,Genbank:WP_001030771.1,COORDINATES: similar to AA sequence:RefSeq:YP_499219.1,CDS,cds-WP_001030771.1,gene-NWMN_RS03545,WP_001030771.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_707180_707609_pos,NWMN_RS03555,WP_000198504.1,,707180,707609,pos,,hypothetical protein,Genbank:WP_000198504.1,COORDINATES: similar to AA sequence:RefSeq:YP_499221.1,CDS,cds-WP_000198504.1,gene-NWMN_RS03555,WP_000198504.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_707817_708324_neg,NWMN_RS03560,WP_000940134.1,,707817,708324,neg,,GNAT family N-acetyltransferase,Genbank:WP_000940134.1,COORDINATES: similar to AA sequence:RefSeq:YP_499222.1,CDS,cds-WP_000940134.1,gene-NWMN_RS03560,WP_000940134.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_708436_709360_pos,NWMN_RS03565,WP_000802946.1,,708436,709360,pos,,NAD(P)-dependent oxidoreductase,Genbank:WP_000802946.1,COORDINATES: similar to AA sequence:RefSeq:YP_499223.1,CDS,cds-WP_000802946.1,gene-NWMN_RS03565,WP_000802946.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_709375_710050_pos,NWMN_RS03570,WP_001166505.1,,709375,710050,pos,,response regulator transcription factor,Genbank:WP_001166505.1,COORDINATES: similar to AA sequence:RefSeq:YP_499224.1,CDS,cds-WP_001166505.1,gene-NWMN_RS03570,WP_001166505.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_710042_711083_pos,NWMN_RS03575,WP_001061252.1,,710042,711083,pos,,sensor histidine kinase,Genbank:WP_001061252.1,COORDINATES: similar to AA sequence:RefSeq:YP_499225.1,CDS,cds-WP_001061252.1,gene-NWMN_RS03575,WP_001061252.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_711226_711988_pos,NWMN_RS03580,WP_000985996.1,,711226,711988,pos,,ABC transporter ATP-binding protein,Genbank:WP_000985996.1,COORDINATES: similar to AA sequence:RefSeq:YP_499226.1,CDS,cds-WP_000985996.1,gene-NWMN_RS03580,WP_000985996.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_711977_713867_pos,NWMN_RS03585,WP_000143623.1,,711977,713867,pos,,FtsX-like permease family protein,Genbank:WP_000143623.1,COORDINATES: similar to AA sequence:RefSeq:YP_499227.1,CDS,cds-WP_000143623.1,gene-NWMN_RS03585,WP_000143623.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_714591_715209_pos,NWMN_RS03590,WP_000491755.1,,714591,715209,pos,,DUF47 domain-containing protein,Genbank:WP_000491755.1,COORDINATES: similar to AA sequence:RefSeq:YP_499228.1,CDS,cds-WP_000491755.1,gene-NWMN_RS03590,WP_000491755.1,CDS,11,Protein Homology,0,,,
