,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065453.1_754469_755906_neg,CP065453.1,I5M60_03860,QPP60320.1,,754469,755906,neg,,prepilin cleavage protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000581382.1,17
CDS_CP065453.1_749345_751340_pos,CP065453.1,I5M60_03850,QPP60319.1,,749345,751340,pos,,site-specific DNA-methyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001038193.1,10
CDS_CP065453.1_4448502_4448649_pos,CP065453.1,I5M60_21805,QPP58759.1,,4448502,4448649,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226030.1,127
CDS_CP065453.1_4459992_4462620_pos,CP065453.1,I5M60_21890,QPP58774.1,,4459992,4462620,pos,,phage tail tape measure protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004134619.1,7
CDS_CP065454.1_168265_168754_pos,CP065454.1,I5M60_27515,QPP62519.1,,168265,168754,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005220992.1,79
CDS_CP065453.1_4452084_4452684_pos,CP065453.1,I5M60_21840,QPP58766.1,,4452084,4452684,pos,,phage tail protein I,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226038.1,64
CDS_CP065453.1_178891_180460_pos,CP065453.1,I5M60_00900,QPP59791.1,,178891,180460,pos,,family 78 glycoside hydrolase catalytic domain,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227161.1,12
CDS_CP065454.1_116009_116924_pos,CP065454.1,I5M60_27195,QPP62461.1,,116009,116924,pos,,DNA replication terminus site-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221075.1,41
CDS_CP065453.1_4750547_4751087_pos,CP065453.1,I5M60_23310,QPP59025.1,,4750547,4751087,pos,,glycine zipper 2TM domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226286.1,74
CDS_CP065454.1_124827_125388_pos,CP065454.1,I5M60_27240,QPP62465.1,,124827,125388,pos,,recombinase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005220837.1,70
CDS_CP065454.1_27095_27956_pos,CP065454.1,I5M60_26685,QPP62363.1,,27095,27956,pos,,class A broad-spectrum beta-lactamase TEM-1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032489893.1,51
CDS_CP065453.1_2322250_2323435_neg,CP065453.1,I5M60_11685,QPP61764.1,tuf,2322250,2323435,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224494.1,30
CDS_CP065453.1_5376099_5377320_neg,CP065453.1,I5M60_26510,QPP62330.1,pgtC,5376099,5377320,neg,,phosphoglycerate transport regulator PgtC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226964.1,28
CDS_CP065453.1_4789257_4789443_pos,CP065453.1,I5M60_23505,QPP59062.1,,4789257,4789443,pos,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,111
CDS_CP065453.1_1298461_1299373_pos,CP065453.1,I5M60_06330,QPP60770.1,,1298461,1299373,pos,,Rpn family recombination-promoting nuclease/putative transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228191.1,46
CDS_CP065453.1_5019756_5021244_pos,CP065453.1,I5M60_24765,QPP59295.1,ltrA,5019756,5021244,pos,,group II intron reverse transcriptase/maturase,,2.7.7.49,,COORDINATES: similar to AA sequence:RefSeq:YP_005226014.1,13
CDS_CP065453.1_1497839_1498892_neg,CP065453.1,I5M60_07390,QPP60965.1,,1497839,1498892,neg,,"phage major capsid protein, P2 family",,,,COORDINATES: similar to AA sequence:RefSeq:WP_004151003.1,123
CDS_CP065453.1_4446790_4446994_pos,CP065453.1,I5M60_21780,QPP58754.1,,4446790,4446994,pos,,tail protein X,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226025.1,106
CDS_CP065453.1_764286_764853_neg,CP065453.1,I5M60_03910,QPP60328.1,,764286,764853,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001386505.1,68
CDS_CP065454.1_121791_122760_pos,CP065454.1,I5M60_27225,QPP62464.1,,121791,122760,pos,,IS5-like element IS903B family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,37
CDS_CP065453.1_3848141_3848879_pos,CP065453.1,I5M60_18855,QPP58216.1,,3848141,3848879,pos,,glycoprotein 3,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225308.1,59
CDS_CP065453.1_1484416_1484932_neg,CP065453.1,I5M60_07290,QPP60947.1,,1484416,1484932,neg,,phage major tail tube protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226044.1,78
CDS_CP065453.1_1501645_1502689_pos,CP065453.1,I5M60_07405,QPP60968.1,,1501645,1502689,pos,,phage portal protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004151006.1,126
CDS_CP065453.1_317998_318988_neg,CP065453.1,I5M60_01650,QPP59932.1,,317998,318988,neg,,isopenicillin N synthase family oxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227314.1,36
CDS_CP065453.1_5042123_5045549_pos,CP065453.1,I5M60_24865,QPP59314.1,,5042123,5045549,pos,,type VI secretion protein VasK,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226614.1,2
CDS_CP065453.1_4448087_4448516_pos,CP065453.1,I5M60_21800,QPP58758.1,,4448087,4448516,pos,,LysB family phage lysis regulatory protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226029.1,87
CDS_CP065453.1_3846238_3846559_neg,CP065453.1,I5M60_18835,QPP58212.1,,3846238,3846559,neg,,DUF5375 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224852.1,93
CDS_CP065453.1_5035971_5036502_pos,CP065453.1,I5M60_24830,QPP59307.1,tli1,5035971,5036502,pos,,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226607.1,76
CDS_CP065453.1_2007170_2008043_neg,CP065453.1,I5M60_09960,QPP61443.1,,2007170,2008043,neg,,ParA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228831.1,48
CDS_CP065453.1_3380051_3380429_pos,CP065453.1,I5M60_16650,QPP57820.1,,3380051,3380429,pos,,DUF2778 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016197693.1,85
CDS_CP065453.1_5017630_5018359_pos,CP065453.1,I5M60_24750,QPP62317.1,,5017630,5018359,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_019724930.1,121
CDS_CP065453.1_4651859_4652135_neg,CP065453.1,I5M60_22800,QPP58936.1,,4651859,4652135,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004141496.1,95
CDS_CP065453.1_4446326_4446791_pos,CP065453.1,I5M60_21775,QPP58753.1,,4446326,4446791,pos,,head completion/stabilization protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226024.1,84
CDS_CP065454.1_173606_174311_pos,CP065454.1,I5M60_27555,QPP62525.1,,173606,174311,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,58
CDS_CP065453.1_816430_817387_neg,CP065453.1,I5M60_04180,QPP60373.1,,816430,817387,neg,,ABC transporter substrate-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004175358.1,39
CDS_CP065454.1_13457_14084_pos,CP065454.1,I5M60_26605,QPP62348.1,tetR(G),13457,14084,pos,,tetracycline resistance transcriptional repressor TetR(G),,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221012.1,62
CDS_CP065453.1_5182711_5184364_neg,CP065453.1,I5M60_25520,QPP59439.1,,5182711,5184364,neg,,class I fumarate hydratase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226753.1,119
CDS_CP065453.1_1494379_1494802_neg,CP065453.1,I5M60_07345,QPP60958.1,,1494379,1494802,neg,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226031.1,1
CDS_CP065453.1_4450265_4450838_pos,CP065453.1,I5M60_21825,QPP58763.1,,4450265,4450838,pos,,phage baseplate assembly protein V,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226035.1,73
CDS_CP065453.1_3847333_3847600_neg,CP065453.1,I5M60_18850,QPP58215.1,,3847333,3847600,neg,,AlpA family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225306.1,97
CDS_CP065453.1_1499882_1501646_pos,CP065453.1,I5M60_07400,QPP60967.1,,1499882,1501646,pos,,terminase ATPase subunit family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004185719.1,118
CDS_CP065455.1_51821_52079_neg,CP065455.1,I5M60_27920,QPP62591.1,pemI,51821,52079,neg,,type II toxin-antitoxin system antitoxin PemI,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000557619.1,99
CDS_CP065453.1_994010_995288_neg,CP065453.1,I5M60_04910,QPP60504.1,dalT,994010,995288,neg,,D-arabinitol transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227901.1,125
CDS_CP065455.1_31313_31493_neg,CP065455.1,I5M60_27755,QPP62564.1,,31313,31493,neg,,cobalamin biosynthesis protein CbiX,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004187364.1,108
CDS_CP065453.1_1250971_1251988_neg,CP065453.1,I5M60_06090,QPP60725.1,cysP,1250971,1251988,neg,,thiosulfate/sulfate ABC transporter substrate-binding protein CysP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228141.1,35
CDS_CP065453.1_569893_571249_neg,CP065453.1,I5M60_02925,QPP60155.1,,569893,571249,neg,,S-type pyocin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227572.1,29
CDS_CP065453.1_2557374_2558697_neg,CP065453.1,I5M60_12725,QPP61964.1,xylA,2557374,2558697,neg,,xylose isomerase,,5.3.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005229388.1,120
CDS_CP065453.1_571272_573759_neg,CP065453.1,I5M60_02930,QPP60156.1,vgrG,571272,573759,neg,,type VI secretion system tip protein VgrG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227573.1,5
CDS_CP065453.1_1484064_1484364_neg,CP065453.1,I5M60_07285,QPP60946.1,,1484064,1484364,neg,,phage tail assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226045.1,98
