,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP065825.1_659698_661306_neg,CP065825.1,I8N74_03255,QPV92750.1,,659698,661306,neg,,cytosine permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228902.1
CDS_CP065825.1_661459_662077_neg,CP065825.1,I8N74_03260,QPV92751.1,ureG,661459,662077,neg,,urease accessory protein UreG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228901.1
CDS_CP065825.1_662085_662760_neg,CP065825.1,I8N74_03265,QPV92752.1,,662085,662760,neg,,urease accessory protein UreF,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228900.1
CDS_CP065825.1_662761_663238_neg,CP065825.1,I8N74_03270,QPV92753.1,ureE,662761,663238,neg,,urease accessory protein UreE,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228899.1
CDS_CP065825.1_663247_664951_neg,CP065825.1,I8N74_03275,QPV92754.1,ureC,663247,664951,neg,,urease subunit alpha,,3.5.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005228898.1
CDS_CP065825.1_664943_665264_neg,CP065825.1,I8N74_03280,QPV92755.1,,664943,665264,neg,,urease subunit beta,,3.5.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005228897.1
CDS_CP065825.1_665273_665576_neg,CP065825.1,I8N74_03285,QPV92756.1,,665273,665576,neg,,urease subunit gamma,,3.5.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005228896.1
CDS_CP065825.1_665585_666410_neg,CP065825.1,I8N74_03290,QPV92757.1,,665585,666410,neg,,urease accessory protein UreD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228895.1
CDS_CP065825.1_666399_666546_pos,CP065825.1,I8N74_03295,QPV92758.1,,666399,666546,pos,,short-chain dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228894.1
CDS_CP065825.1_666556_666676_neg,CP065825.1,I8N74_03300,QPV92759.1,,666556,666676,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228893.1
CDS_CP065825.1_666807_667425_neg,CP065825.1,I8N74_03305,QPV92760.1,plsY,666807,667425,neg,,glycerol-3-phosphate 1-O-acyltransferase PlsY,,2.3.1.15,,COORDINATES: similar to AA sequence:RefSeq:YP_005228892.1
CDS_CP065825.1_667532_667916_pos,CP065825.1,I8N74_03310,QPV92761.1,folB,667532,667916,pos,,"bifunctional dihydroneopterin aldolase/7,8-dihydroneopterin epimerase",,4.1.2.25,,COORDINATES: similar to AA sequence:RefSeq:YP_005228891.1
CDS_CP065825.1_668114_668936_pos,CP065825.1,I8N74_03315,QPV92762.1,bacA,668114,668936,pos,,undecaprenyl-diphosphate phosphatase,,3.6.1.27,,COORDINATES: similar to AA sequence:RefSeq:NP_311967.1
CDS_CP065825.1_668947_670189_neg,CP065825.1,I8N74_03320,QPV92763.1,,668947,670189,neg,,multifunctional CCA addition/repair protein,,2.7.7.72,,COORDINATES: similar to AA sequence:RefSeq:YP_005228889.1
CDS_CP065825.1_670250_670871_neg,CP065825.1,I8N74_03325,QPV92764.1,,670250,670871,neg,,SH3 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228888.1
CDS_CP065825.1_671085_672384_pos,CP065825.1,I8N74_03330,QPV92765.1,,671085,672384,pos,,inorganic triphosphatase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228887.1
CDS_CP065825.1_672404_675242_pos,CP065825.1,I8N74_03335,QPV92766.1,glnE,672404,675242,pos,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,,2.7.7.42,,COORDINATES: similar to AA sequence:RefSeq:YP_005228886.1
CDS_CP065825.1_675300_676734_pos,CP065825.1,I8N74_03340,QPV92767.1,hldE,675300,676734,pos,,bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE,,2.7.1.167,,COORDINATES: similar to AA sequence:RefSeq:YP_005228885.1
CDS_CP065825.1_676811_676961_neg,CP065825.1,I8N74_03345,QPV92768.1,,676811,676961,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228884.1
CDS_CP065825.1_676952_677150_pos,CP065825.1,I8N74_03350,QPV92769.1,glgS,676952,677150,pos,,cell surface composition regulator GlgS,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228883.1
CDS_CP065825.1_677185_677458_neg,CP065825.1,I8N74_03355,QPV92770.1,,677185,677458,neg,,accessory factor UbiK family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228882.1
CDS_CP065825.1_677835_678489_pos,CP065825.1,I8N74_03360,QPV92771.1,ribB,677835,678489,pos,,"3,4-dihydroxy-2-butanone-4-phosphate synthase",,4.1.99.12,,COORDINATES: similar to AA sequence:RefSeq:YP_005228881.1
CDS_CP065825.1_678550_679321_neg,CP065825.1,I8N74_03365,QPV92772.1,zupT,678550,679321,neg,,zinc transporter ZupT,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228880.1
CDS_CP065825.1_679507_680299_pos,CP065825.1,I8N74_03370,QPV92773.1,ygiD,679507,680299,pos,,"4,5-DOPA dioxygenase extradiol",,1.13.11.29,,COORDINATES: similar to AA sequence:RefSeq:YP_005228879.1
CDS_CP065825.1_680343_681504_neg,CP065825.1,I8N74_03375,QPV92774.1,,680343,681504,neg,,glutathionylspermidine synthase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228878.1
CDS_CP065825.1_681509_682178_neg,CP065825.1,I8N74_03380,QPV92775.1,,681509,682178,neg,,DUF1190 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228877.1
CDS_CP065825.1_682345_683818_neg,CP065825.1,I8N74_03385,QPV92776.1,tolC,682345,683818,neg,,outer membrane channel protein TolC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228876.1
CDS_CP065825.1_684014_684647_pos,CP065825.1,I8N74_03390,QPV92777.1,nudF,684014,684647,pos,,ADP-ribose diphosphatase,,3.6.1.13,,COORDINATES: similar to AA sequence:RefSeq:YP_005228875.1
CDS_CP065825.1_684643_685066_pos,CP065825.1,I8N74_03395,QPV92778.1,,684643,685066,pos,,DUF1249 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228874.1
CDS_CP065825.1_685090_685918_pos,CP065825.1,I8N74_03400,QPV92779.1,cpdA,685090,685918,pos,,"3',5'-cyclic-AMP phosphodiesterase",,3.1.4.53,,COORDINATES: similar to AA sequence:RefSeq:YP_005228873.1
CDS_CP065825.1_685917_686493_pos,CP065825.1,I8N74_03405,QPV92780.1,yqiA,685917,686493,pos,,esterase YqiA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228872.1
CDS_CP065825.1_686523_688419_pos,CP065825.1,I8N74_03410,QPV92781.1,parE,686523,688419,pos,,DNA topoisomerase IV subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228871.1
CDS_CP065825.1_688491_688806_neg,CP065825.1,I8N74_03415,QPV92782.1,,688491,688806,neg,,antibiotic biosynthesis monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228870.1
CDS_CP065825.1_688887_689469_neg,CP065825.1,I8N74_03420,QPV92783.1,,688887,689469,neg,,NAD(P)H-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228869.1
CDS_CP065825.1_689575_690925_neg,CP065825.1,I8N74_03425,QPV92784.1,qseC,689575,690925,neg,,two-component system sensor histidine kinase QseC,,2.7.13.3,,COORDINATES: similar to AA sequence:RefSeq:YP_005228868.1
CDS_CP065825.1_690921_691581_neg,CP065825.1,I8N74_03430,QPV92785.1,qseB,690921,691581,neg,,two-component system response regulator QseB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228867.1
CDS_CP065825.1_691731_692127_pos,CP065825.1,I8N74_03435,QPV92786.1,,691731,692127,pos,,YgiW/YdeI family stress tolerance OB fold protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228866.1
CDS_CP065825.1_692204_693074_pos,CP065825.1,I8N74_03440,QPV92787.1,,692204,693074,pos,,AraC family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228865.1
CDS_CP065825.1_693195_695454_pos,CP065825.1,I8N74_03445,QPV92788.1,parC,693195,695454,pos,,DNA topoisomerase IV subunit A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228864.1
CDS_CP065825.1_695645_696383_pos,CP065825.1,I8N74_03450,QPV92789.1,plsC,695645,696383,pos,,1-acylglycerol-3-phosphate O-acyltransferase,,2.3.1.51,,COORDINATES: similar to AA sequence:RefSeq:YP_005228863.1
CDS_CP065825.1_696466_697879_pos,CP065825.1,I8N74_03455,QPV92790.1,ftsP,696466,697879,pos,,cell division protein FtsP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228862.1
CDS_CP065825.1_698002_700186_pos,CP065825.1,I8N74_03460,QPV92791.1,,698002,700186,pos,,YgiQ family radical SAM protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020803293.1
CDS_CP065825.1_700243_700771_pos,CP065825.1,I8N74_03465,QPV92792.1,,700243,700771,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228860.1
CDS_CP065825.1_700806_701634_neg,CP065825.1,I8N74_03470,QPV92793.1,dkgA,700806,701634,neg,,"2,5-didehydrogluconate reductase DkgA",,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228859.1
CDS_CP065825.1_701779_702943_neg,CP065825.1,I8N74_03475,QPV92794.1,yqhD,701779,702943,neg,,alcohol dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228858.1
CDS_CP065825.1_703139_704039_pos,CP065825.1,I8N74_03480,QPV94500.1,,703139,704039,pos,,AraC family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228857.1
CDS_CP065825.1_704088_704748_neg,CP065825.1,I8N74_03485,QPV92795.1,,704088,704748,neg,,DedA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228856.1
CDS_CP065825.1_704879_706067_neg,CP065825.1,I8N74_03490,QPV92796.1,metC,704879,706067,neg,,cystathionine beta-lyase,,4.4.1.8,,COORDINATES: similar to AA sequence:RefSeq:YP_005228855.1
CDS_CP065825.1_706109_706325_pos,CP065825.1,I8N74_03495,QPV92797.1,,706109,706325,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+
CDS_CP065825.1_706317_707049_pos,CP065825.1,I8N74_03500,QPV92798.1,exbB,706317,707049,pos,,tol-pal system-associated acyl-CoA thioesterase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228853.1
CDS_CP065825.1_707055_707481_pos,CP065825.1,I8N74_03505,QPV92799.1,exbD,707055,707481,pos,,TonB system transport protein ExbD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228852.1
CDS_CP065825.1_707685_709104_pos,CP065825.1,I8N74_03510,QPV92800.1,,707685,709104,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228851.1
CDS_CP065825.1_709117_710641_pos,CP065825.1,I8N74_03515,QPV92801.1,,709117,710641,pos,,family 43 glycosylhydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228850.1
CDS_CP065825.1_710747_711242_pos,CP065825.1,I8N74_03520,QPV92802.1,,710747,711242,pos,,TIGR00645 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228849.1
CDS_CP065825.1_711363_712251_pos,CP065825.1,I8N74_03525,QPV92803.1,,711363,712251,pos,,dienelactone hydrolase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228848.1
CDS_CP065825.1_712329_712617_pos,CP065825.1,I8N74_03530,QPV92804.1,,712329,712617,pos,,DUF2623 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228847.1
CDS_CP065825.1_712689_713556_neg,CP065825.1,I8N74_03535,QPV92805.1,yghU,712689,713556,neg,,glutathione-dependent disulfide-bond oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228846.1
CDS_CP065825.1_713603_714164_neg,CP065825.1,I8N74_03540,QPV92806.1,,713603,714164,neg,,thioredoxin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228845.1
CDS_CP065825.1_714184_714307_pos,CP065825.1,I8N74_03545,QPV94501.1,,714184,714307,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228844.1
CDS_CP065825.1_714383_716249_pos,CP065825.1,I8N74_03550,QPV92807.1,gss,714383,716249,pos,,bifunctional glutathionylspermidine amidase/synthase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004149826.1
CDS_CP065825.1_716394_717576_pos,CP065825.1,I8N74_03555,QPV92808.1,,716394,717576,pos,,PLP-dependent aminotransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228842.1
CDS_CP065825.1_717752_717941_neg,CP065825.1,I8N74_03560,QPV92809.1,,717752,717941,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228841.1
CDS_CP065825.1_718140_718485_neg,CP065825.1,I8N74_03565,QPV92810.1,,718140,718485,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228840.1
CDS_CP065825.1_718571_719174_neg,CP065825.1,I8N74_03570,QPV92811.1,,718571,719174,neg,,short chain dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228839.1
CDS_CP065825.1_719271_720183_pos,CP065825.1,I8N74_03575,QPV92812.1,,719271,720183,pos,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228838.1
CDS_CP065825.1_720183_721332_neg,CP065825.1,I8N74_03580,QPV92813.1,,720183,721332,neg,,PLP-dependent transferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228837.1
CDS_CP065825.1_721342_722719_neg,CP065825.1,I8N74_03585,QPV92814.1,,721342,722719,neg,,cystathionine beta-synthase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228836.1
CDS_CP065825.1_723295_724009_neg,CP065825.1,I8N74_03595,QPV92815.1,,723295,724009,neg,,DUF554 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228769.1
CDS_CP065825.1_724428_726567_pos,CP065825.1,I8N74_03600,QPV92816.1,,724428,726567,pos,,ornithine decarboxylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228768.1
CDS_CP065825.1_726610_727864_neg,CP065825.1,I8N74_03605,QPV92817.1,,726610,727864,neg,,nucleoside permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228767.1
CDS_CP065825.1_728055_729138_neg,CP065825.1,I8N74_03610,QPV94502.1,mltC,728055,729138,neg,,membrane-bound lytic murein transglycosylase MltC,,4.2.2.-,,COORDINATES: similar to AA sequence:RefSeq:WP_005123264.1
CDS_CP065825.1_729187_729463_neg,CP065825.1,I8N74_03615,QPV92818.1,,729187,729463,neg,,oxidative damage protection protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228764.1
CDS_CP065825.1_729491_730550_neg,CP065825.1,I8N74_03620,QPV92819.1,mutY,729491,730550,neg,,A/G-specific adenine glycosylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228763.1
CDS_CP065825.1_730686_731406_pos,CP065825.1,I8N74_03625,QPV92820.1,trmB,730686,731406,pos,,tRNA (guanosine(46)-N7)-methyltransferase TrmB,,2.1.1.33,,COORDINATES: similar to AA sequence:RefSeq:YP_005228762.1
CDS_CP065825.1_731405_731732_pos,CP065825.1,I8N74_03630,QPV92821.1,,731405,731732,pos,,YggL family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228761.1
CDS_CP065825.1_731782_732502_pos,CP065825.1,I8N74_03635,QPV92822.1,,731782,732502,pos,,DUF2884 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228760.1
CDS_CP065825.1_732548_733796_neg,CP065825.1,I8N74_03640,QPV92823.1,,732548,733796,neg,,sugar ABC transporter permease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004181281.1
CDS_CP065825.1_733800_734610_neg,CP065825.1,I8N74_03645,QPV92824.1,,733800,734610,neg,,sugar ABC transporter ATP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004181271.1
CDS_CP065825.1_734669_735716_neg,CP065825.1,I8N74_03650,QPV92825.1,,734669,735716,neg,,sugar ABC transporter substrate-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004181270.1
CDS_CP065825.1_736008_737148_neg,CP065825.1,I8N74_03655,QPV92826.1,hemW,736008,737148,neg,,radical SAM family heme chaperone HemW,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020077950.1
CDS_CP065825.1_737140_737734_neg,CP065825.1,I8N74_03660,QPV92827.1,,737140,737734,neg,,XTP/dITP diphosphatase,,3.6.1.66,,COORDINATES: similar to AA sequence:RefSeq:YP_005228758.1
CDS_CP065825.1_737746_738037_neg,CP065825.1,I8N74_03665,QPV92828.1,,737746,738037,neg,,YggU family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228757.1
CDS_CP065825.1_738033_738600_neg,CP065825.1,I8N74_03670,QPV92829.1,,738033,738600,neg,,YggT family protein,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462017.1
CDS_CP065825.1_738620_739322_neg,CP065825.1,I8N74_03675,QPV92830.1,,738620,739322,neg,,YggS family pyridoxal phosphate-dependent enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228755.1
CDS_CP065825.1_739338_740319_pos,CP065825.1,I8N74_03680,QPV92831.1,,739338,740319,pos,,type IV pilus twitching motility protein PilT,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228754.1
CDS_CP065825.1_740667_741321_pos,CP065825.1,I8N74_03685,QPV92832.1,csgD,740667,741321,pos,,transcriptional regulator CsgD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228752.1
CDS_CP065825.1_741373_741790_neg,CP065825.1,I8N74_03690,QPV92833.1,ruvX,741373,741790,neg,,Holliday junction resolvase RuvX,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228751.1
CDS_CP065825.1_741789_742353_neg,CP065825.1,I8N74_03695,QPV92834.1,,741789,742353,neg,,YqgE/AlgH family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228750.1
CDS_CP065825.1_742527_743478_neg,CP065825.1,I8N74_03700,QPV92835.1,gshB,742527,743478,neg,,glutathione synthase,,6.3.2.3,,COORDINATES: similar to AA sequence:RefSeq:YP_005228749.1
CDS_CP065825.1_743498_744230_neg,CP065825.1,I8N74_03705,QPV92836.1,rsmE,743498,744230,neg,,16S rRNA (uracil(1498)-N(3))-methyltransferase,,2.1.1.193,,COORDINATES: similar to AA sequence:RefSeq:WP_014226833.1
CDS_CP065825.1_744321_745029_neg,CP065825.1,I8N74_03710,QPV92837.1,endA,744321,745029,neg,,deoxyribonuclease I,,3.1.21.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005228747.1
CDS_CP065825.1_745123_745624_neg,CP065825.1,I8N74_03715,QPV92838.1,,745123,745624,neg,,SprT family zinc-dependent metalloprotease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228746.1
CDS_CP065825.1_745701_747096_neg,CP065825.1,I8N74_03720,QPV92839.1,,745701,747096,neg,,sugar porter family MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228745.1
CDS_CP065825.1_747477_748632_neg,CP065825.1,I8N74_03725,QPV92840.1,metK,747477,748632,neg,,methionine adenosyltransferase,,2.5.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_005123306.1
CDS_CP065825.1_748829_749153_neg,CP065825.1,I8N74_03730,QPV92841.1,,748829,749153,neg,,hypothetical protein,,,,COORDINATES: protein motif:HMM:NF037550.1
CDS_CP065825.1_749333_749465_pos,CP065825.1,I8N74_03735,QPV92842.1,yqgB,749333,749465,pos,,acid stress response protein YqgB,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002916578.1
CDS_CP065825.1_749473_751450_pos,CP065825.1,I8N74_03740,QPV92843.1,speA,749473,751450,pos,,biosynthetic arginine decarboxylase,,4.1.1.19,,COORDINATES: similar to AA sequence:RefSeq:NP_311841.1
CDS_CP065825.1_751683_752604_pos,CP065825.1,I8N74_03745,QPV92844.1,speB,751683,752604,pos,,agmatinase,,3.5.3.11,,COORDINATES: similar to AA sequence:RefSeq:WP_008499737.1
CDS_CP065825.1_752639_752903_neg,CP065825.1,I8N74_03750,QPV94503.1,,752639,752903,neg,,OprD family outer membrane porin,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020883713.1
CDS_CP065825.1_753064_753823_neg,CP065825.1,I8N74_03755,QPV92845.1,,753064,753823,neg,,M48 family metallopeptidase,,,,COORDINATES: similar to AA sequence:RefSeq:NP_461993.1
CDS_CP065825.1_754101_756093_pos,CP065825.1,I8N74_03760,QPV92846.1,tkt,754101,756093,pos,,transketolase,,2.2.1.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005228723.1
CDS_CP065825.1_756478_757507_pos,CP065825.1,I8N74_03765,QPV92847.1,epd,756478,757507,pos,,erythrose-4-phosphate dehydrogenase,,1.2.1.72,,COORDINATES: similar to AA sequence:RefSeq:YP_005228722.1
CDS_CP065825.1_757546_758710_pos,CP065825.1,I8N74_03770,QPV92848.1,pgk,757546,758710,pos,,phosphoglycerate kinase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005761248.1
CDS_CP065825.1_758807_759887_pos,CP065825.1,I8N74_03775,QPV92849.1,fbaA,758807,759887,pos,,class II fructose-bisphosphate aldolase,,4.1.2.13,,COORDINATES: similar to AA sequence:RefSeq:WP_016505616.1
CDS_CP065825.1_760077_760935_pos,CP065825.1,I8N74_03780,QPV92850.1,,760077,760935,pos,,small-conductance mechanosensitive channel MscS,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228719.1
CDS_CP065825.1_761086_761722_pos,CP065825.1,I8N74_03785,QPV92851.1,argO,761086,761722,pos,,arginine exporter ArgO,,,,COORDINATES: similar to AA sequence:RefSeq:NP_417398.1
CDS_CP065825.1_761811_762579_pos,CP065825.1,I8N74_03790,QPV92852.1,,761811,762579,pos,,oxidative stress defense protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228716.1
CDS_CP065825.1_762632_763526_neg,CP065825.1,I8N74_03795,QPV92853.1,argP,762632,763526,neg,,DNA-binding transcriptional regulator ArgP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228715.1
CDS_CP065825.1_763693_764353_pos,CP065825.1,I8N74_03800,QPV92854.1,rpiA,763693,764353,pos,,ribose-5-phosphate isomerase RpiA,,5.3.1.6,,COORDINATES: similar to AA sequence:RefSeq:YP_005228714.1
CDS_CP065825.1_764622_765855_pos,CP065825.1,I8N74_03805,QPV92855.1,serA,764622,765855,pos,,phosphoglycerate dehydrogenase,,1.1.1.95,,COORDINATES: similar to AA sequence:RefSeq:YP_005228712.1
CDS_CP065825.1_765938_766535_neg,CP065825.1,I8N74_03810,QPV92856.1,,765938,766535,neg,,5-formyltetrahydrofolate cyclo-ligase,,6.3.3.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005228711.1
CDS_CP065825.1_766858_767188_neg,CP065825.1,I8N74_03820,QPV92857.1,zapA,766858,767188,neg,,cell division protein ZapA,,,,COORDINATES: similar to AA sequence:RefSeq:NP_461976.1
CDS_CP065825.1_767354_767933_pos,CP065825.1,I8N74_03825,QPV92858.1,,767354,767933,pos,,YecA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:NP_708672.2
CDS_CP065825.1_767956_769273_pos,CP065825.1,I8N74_03830,QPV92859.1,pepP,767956,769273,pos,,Xaa-Pro aminopeptidase,,3.4.11.9,,COORDINATES: similar to AA sequence:RefSeq:YP_005228709.1
CDS_CP065825.1_769269_770448_pos,CP065825.1,I8N74_03835,QPV92860.1,ubiH,769269,770448,pos,,2-octaprenyl-6-methoxyphenyl hydroxylase,,1.14.13.-,,COORDINATES: similar to AA sequence:RefSeq:YP_005228708.1
CDS_CP065825.1_770458_771661_pos,CP065825.1,I8N74_03840,QPV92861.1,ubiI,770458,771661,pos,,FAD-dependent 2-octaprenylphenol hydroxylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228707.1
CDS_CP065825.1_772082_773177_pos,CP065825.1,I8N74_03845,QPV92862.1,gcvT,772082,773177,pos,,glycine cleavage system aminomethyltransferase GcvT,,2.1.2.10,,COORDINATES: similar to AA sequence:RefSeq:YP_005228706.1
CDS_CP065825.1_773201_773591_pos,CP065825.1,I8N74_03850,QPV92863.1,gcvH,773201,773591,pos,,glycine cleavage system protein GcvH,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005123344.1
CDS_CP065825.1_773797_776671_pos,CP065825.1,I8N74_03855,QPV92864.1,gcvP,773797,776671,pos,,aminomethyl-transferring glycine dehydrogenase,,1.4.4.2,,COORDINATES: similar to AA sequence:RefSeq:WP_017457610.1
CDS_CP065825.1_776733_777477_pos,CP065825.1,I8N74_03860,QPV92865.1,,776733,777477,pos,,SDR family oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228703.1
CDS_CP065825.1_777597_778101_neg,CP065825.1,I8N74_03865,QPV92866.1,,777597,778101,neg,,protein disulfide oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228702.1
CDS_CP065825.1_778090_778702_neg,CP065825.1,I8N74_03870,QPV92867.1,,778090,778702,neg,,thioredoxin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228701.1
CDS_CP065825.1_778703_780713_neg,CP065825.1,I8N74_03875,QPV92868.1,,778703,780713,neg,,thioredoxin family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228700.1
CDS_CP065825.1_780762_781122_neg,CP065825.1,I8N74_03880,QPV92869.1,,780762,781122,neg,,copper resistance protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228699.1
CDS_CP065825.1_781246_782680_neg,CP065825.1,I8N74_03885,QPV92870.1,bglA,781246,782680,neg,,6-phospho-beta-glucosidase BglA,,3.2.1.86,,COORDINATES: similar to AA sequence:RefSeq:YP_005228698.1
CDS_CP065825.1_782798_783527_neg,CP065825.1,I8N74_03890,QPV94504.1,,782798,783527,neg,,MurR/RpiR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228697.1
CDS_CP065825.1_783576_783888_pos,CP065825.1,I8N74_03895,QPV92871.1,,783576,783888,pos,,ASCH domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228696.1
CDS_CP065825.1_784051_784711_pos,CP065825.1,I8N74_03900,QPV92872.1,,784051,784711,pos,,hemolysin III family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228695.1
CDS_CP065825.1_784861_785845_neg,CP065825.1,I8N74_03905,QPV92873.1,ygfZ,784861,785845,neg,,tRNA-modifying protein YgfZ,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228694.1
CDS_CP065825.1_786090_786357_pos,CP065825.1,I8N74_03910,QPV92874.1,sdhE,786090,786357,pos,,FAD assembly factor SdhE,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000354044.1
CDS_CP065825.1_786337_786748_pos,CP065825.1,I8N74_03915,QPV92875.1,,786337,786748,pos,,protein YgfX,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228692.1
